ibge7;Município;Taxa de mortalidade por câncer de colo de útero;Taxa de mortalidade por câncer de mama;Taxa de mortalidade por câncer de pulmão
3113800;Carmésia;0,00;0,00;38,39
3113909;Carmo da Cachoeira;0,00;17,44;8,66
3114006;Carmo da Mata;18,02;0,00;27,23
3114105;Carmo de Minas;0,00;0,00;14,50
3114204;Carmo do Cajuru;8,47;33,89;4,26
3114303;Carmo do Paranaíba;0,00;13,85;17,23
3114402;Carmo do Rio Claro;0,00;9,64;14,32
3114501;Carmópolis de Minas;0,00;11,24;5,59
3114550;Carneirinho;0,00;21,51;42,45
3114600;Carrancas;0,00;0,00;24,70
3114709;Carvalhópolis;0,00;61,54;0,00
3114808;Carvalhos;0,00;45,98;45,23
3114907;Casa Grande;0,00;0,00;0,00
3115003;Cascalho Rico;0,00;0,00;0,00
3115102;Cássia;0,00;46,69;40,80
3115300;Cataguases;2,91;17,48;18,11
3115359;Catas Altas;0,00;0,00;0,00
3115409;Catas Altas da Noruega;0,00;0,00;0,00
3115458;Catuji;0,00;28,12;28,45
3115474;Catuti;0,00;0,00;21,10
3115508;Caxambu;9,08;9,08;28,50
3115607;Cedro do Abaeté;0,00;0,00;0,00
3115706;Central de Minas;31,83;31,83;0,00
3115805;Centralina;0,00;0,00;39,19
3115904;Chácara;0,00;0,00;32,52
3116001;Chalé;33,00;0,00;16,46
3116100;Chapada do Norte;0,00;0,00;0,00
3116159;Chapada Gaúcha;0,00;16,67;8,09
3116209;Chiador;0,00;0,00;35,71
3116308;Cipotânea;35,54;35,54;17,92
3116407;Claraval;0,00;0,00;21,47
3116506;Claro dos Poções;0,00;28,11;27,91
3116605;Cláudio;0,00;33,13;19,89
3116704;Coimbra;0,00;0,00;28,10
3116803;Coluna;0,00;0,00;0,00
3116902;Comendador Gomes;0,00;0,00;72,12
3117009;Comercinho;0,00;0,00;0,00
3117108;Conceição da Aparecida;0,00;0,00;19,28
3115201;Conceição da Barra de Minas;0,00;58,21;0,00
3117306;Conceição das Alagoas;0,00;14,42;14,09
3117207;Conceição das Pedras;0,00;77,40;0,00
3117405;Conceição de Ipanema;0,00;45,52;22,68
3117504;Conceição do Mato Dentro;8,70;8,70;4,32
3117603;Conceição do Pará;0,00;37,76;0,00
3117702;Conceição do Rio Verde;0,00;0,00;7,97
3117801;Conceição dos Ouros;0,00;18,76;27,57
3117836;Cônego Marinho;0,00;0,00;13,82
3117876;Confins;26,87;0,00;0,00
3117900;Congonhal;0,00;18,15;18,05
3118007;Congonhas;7,43;14,85;7,56
3118106;Congonhas do Norte;0,00;0,00;0,00
3118205;Conquista;0,00;0,00;0,00
3118304;Conselheiro Lafaiete;4,39;23,42;10,64
3118403;Conselheiro Pena;0,00;0,00;33,62
3118502;Consolação;0,00;0,00;0,00
3118601;Contagem;4,63;21,29;12,70
3118700;Coqueiral;0,00;22,29;0,00
3118809;Coração de Jesus;15,82;7,91;7,88
3118908;Cordisburgo;0,00;0,00;13,25
3119005;Cordislândia;0,00;0,00;62,50
3119104;Corinto;0,00;16,69;25,50
3119203;Coroaci;0,00;18,77;9,19
3119302;Coromandel;0,00;0,00;20,77
3119401;Coronel Fabriciano;9,12;16,42;7,64
3119500;Coronel Murta;0,00;0,00;0,00
3119609;Coronel Pacheco;0,00;0,00;0,00
3119708;Coronel Xavier Chaves;0,00;0,00;0,00
3119807;Córrego Danta;0,00;71,23;0,00
3119906;Córrego do Bom Jesus;0,00;47,98;0,00
3119955;Córrego Fundo;0,00;0,00;0,00
3120003;Córrego Novo;0,00;0,00;34,78
3120102;Couto de Magalhães de Minas;0,00;45,96;0,00
3120151;Crisólita;0,00;0,00;0,00
3120201;Cristais;0,00;16,49;32,79
3120300;Cristália;0,00;0,00;19,53
3120409;Cristiano Otoni;0,00;84,53;21,43
3120508;Cristina;0,00;0,00;19,28
3120607;Crucilândia;0,00;0,00;0,00
3120706;Cruzeiro da Fortaleza;0,00;0,00;85,20
3120805;Cruzília;0,00;12,85;26,04
3120839;Cuparaque;0,00;0,00;0,00
3120870;Curral de Dentro;0,00;0,00;0,00
3120904;Curvelo;4,78;9,56;11,20
3121001;Datas;35,93;71,86;18,30
